FIP,County,_0to9,_10to19,_20to29,_30to39,_40to49,_50to59,_60to69,_70to79,_80up,POPSIZE
13001,"Appling County, Georgia",0.13454390995009027,0.1306679409578422,0.12026122969098439,0.11388977381331634,0.11850907932462568,0.12918126791971965,0.1213762344695763,0.07672294786025273,0.05484761601359244,18834.0
13003,"Atkinson County, Georgia",0.14335122242098985,0.140608228980322,0.1347644603458557,0.12021466905187836,0.12939773404889685,0.12605843768634467,0.10399522957662492,0.06511627906976744,0.036493738819320214,8385.0
13005,"Bacon County, Georgia",0.13368606701940036,0.1390652557319224,0.12548500881834215,0.11798941798941799,0.13139329805996472,0.11631393298059965,0.12028218694885362,0.068342151675485,0.04744268077601411,11340.0
13007,"Baker County, Georgia",0.09689557855126998,0.10849796174349326,0.11257447475697711,0.09689557855126998,0.11037942928817811,0.1480087801818752,0.15459391658827218,0.08874255252430228,0.08341172781436187,3189.0
13009,"Baldwin County, Georgia",0.09756793537907722,0.1488651828438474,0.1829096975284253,0.10696255322885113,0.1038236972650248,0.12450063655120945,0.11488651828438474,0.07008648316431801,0.05039729575486193,45558.0
13011,"Banks County, Georgia",0.11372854914196567,0.13031721268850754,0.11539261570462818,0.11648465938637545,0.13161726469058763,0.14113364534581382,0.12230889235569423,0.08569942797711909,0.043317732709308374,19230.0
13013,"Barrow County, Georgia",0.13866327429298367,0.13948282610822976,0.1288408846266758,0.14720129171151777,0.13358694588511597,0.12429053723456307,0.09630345434974068,0.05631666503571778,0.03531412075545552,81752.0
13015,"Bartow County, Georgia",0.1271698288259034,0.13339518485874657,0.13026859024910703,0.12658533191074825,0.13158602774040914,0.13973187363733358,0.10693510228696015,0.06446165978568447,0.03986640070510739,107785.0
13017,"Ben Hill County, Georgia",0.13075797483172374,0.1346795434591747,0.1160667251975417,0.11793971319871233,0.11524729294702955,0.12748024582967515,0.12496341820310214,0.07837284167398302,0.05449224465905765,17085.0
13019,"Berrien County, Georgia",0.12248852626211117,0.13656297807241202,0.11585925548189699,0.1172870984191739,0.12141764405915349,0.13773584905660377,0.1138194798572157,0.07812340642529322,0.05670576236613972,19610.0
13021,"Bibb County, Georgia",0.13526666068245644,0.1347473167228755,0.14394162830360463,0.12150083992665069,0.11122295885000577,0.12169318954131028,0.1109664926971263,0.06562327686803535,0.05503763640793506,155966.0
13023,"Bleckley County, Georgia",0.10658855751673768,0.1559646987218503,0.14097687157638467,0.10544735240413877,0.11138161898965307,0.13253195374315277,0.1027084601339014,0.07455873402312842,0.06984175289105295,13144.0
13025,"Brantley County, Georgia",0.12305685967657799,0.13088158581116327,0.12050078247261346,0.11314553990610329,0.1299947835159103,0.14194053208137716,0.11966614501825769,0.07209181011997913,0.04872196139801774,19170.0
13027,"Brooks County, Georgia",0.11896453270731552,0.11445974240213184,0.11052598185394327,0.10944737009073029,0.11541145866379036,0.14840428906795253,0.1348899181524015,0.09269716388554025,0.0551995431761944,15761.0
13029,"Bryan County, Georgia",0.1563807395473326,0.15762804355169815,0.11480393940181378,0.15887534755606372,0.1382948314840319,0.11298495439544734,0.08437491879531221,0.04609827716134397,0.030558948106956318,38483.0
13031,"Bulloch County, Georgia",0.1107982542587639,0.16169864205905315,0.23288495258085573,0.1191302010674107,0.10107125030396888,0.1011608411298683,0.08850293729922055,0.05064441401200517,0.034108507288853625,78133.0
13033,"Burke County, Georgia",0.13733679166483492,0.1421725941882446,0.1201477117861696,0.11425682507583418,0.11605926056183233,0.13377588253396053,0.12375258275816592,0.06739350243988218,0.045104848991075745,22747.0
13035,"Butts County, Georgia",0.11431476209841399,0.11297275315168767,0.14672631150874338,0.13212688084587232,0.12952419682797886,0.1368442456283042,0.10971939812932086,0.07019113460756406,0.04758031720211468,24590.0
13037,"Calhoun County, Georgia",0.08620159803318991,0.10341118623232944,0.1442839582052858,0.15196681007990165,0.14889366933005532,0.12753534111862325,0.10617701290719114,0.06484326982175784,0.06668715427166565,6508.0
13039,"Camden County, Georgia",0.14068637394655797,0.12556475556457117,0.1790620908403563,0.13544913050694304,0.10354620392055618,0.11715566046434434,0.09906504140004058,0.06507828203662382,0.03439246132000664,54227.0
13043,"Candler County, Georgia",0.12861035422343325,0.13987284287011809,0.11752951861943688,0.11253405994550408,0.1184377838328792,0.12752043596730245,0.12070844686648502,0.0854677565849228,0.049318801089918256,11010.0
13045,"Carroll County, Georgia",0.12618956030171766,0.14604204646184207,0.15975648508972923,0.12340486026325032,0.12223411550233312,0.12113863290461775,0.10007358967068622,0.06133030054690505,0.039830409258918564,119582.0
13047,"Catoosa County, Georgia",0.11426531236793401,0.13331195989565878,0.11385727401232859,0.11876830707800819,0.133501406275047,0.1330642223226126,0.11666982410632314,0.07953833374622929,0.05702336019585841,68621.0
13049,"Charlton County, Georgia",0.10518338890572901,0.10578963322218854,0.15603213094877236,0.14004243710215217,0.12875113670809335,0.13344953016065475,0.10268263110033343,0.07426492876629281,0.05380418308578357,13196.0
13051,"Chatham County, Georgia",0.11864458588342379,0.12132430357907036,0.16199216123137952,0.1412778415536249,0.11181453228906987,0.11812154846247376,0.10823138632087327,0.06639858168553904,0.05219505899454547,294434.0
13053,"Chattahoochee County, Georgia",0.14977194452201434,0.12268453876943126,0.37363864842222844,0.1540538024760309,0.07288466908684725,0.052871637345248065,0.03425486363213255,0.021874709112910732,0.017965186633156473,10743.0
13055,"Chattooga County, Georgia",0.11727516990674886,0.12438754544017702,0.12545440177019124,0.11822348664453927,0.12434803224276908,0.13090722301248617,0.1220562667931089,0.07645803698435277,0.06088983720562668,25308.0
13057,"Cherokee County, Georgia",0.1237429678223122,0.14197115103852367,0.11365556442350742,0.12764400147943392,0.14714527651787973,0.13970138794261353,0.10640633820638103,0.06535983336902143,0.03437347920032703,256855.0
13059,"Clarke County, Georgia",0.10038241659362225,0.14103648083650722,0.2783263650255591,0.13118518116307393,0.09692282631460553,0.08741283151174786,0.08265783411031905,0.04627008074962961,0.035805983694935505,128917.0
13061,"Clay County, Georgia",0.10306500505220613,0.11350623105422701,0.09397103401818795,0.10609632873021219,0.0906028965981812,0.11990569215223981,0.16436510609632873,0.12091613337824184,0.08757157292017514,2969.0
13063,"Clayton County, Georgia",0.1523486410368119,0.1522217152815179,0.15477738251649178,0.1391346407829604,0.12913494952128407,0.12304594369299061,0.08826142589079583,0.039799800349217346,0.021275500927930183,291509.0
13065,"Clinch County, Georgia",0.13748513674197385,0.13585017835909632,0.1270808561236623,0.11920332936979786,0.12009512485136742,0.12544589774078477,0.11637931034482758,0.07714030915576695,0.041319857312722946,6728.0
13067,"Cobb County, Georgia",0.12428229868127075,0.13411890370103408,0.13707001578714387,0.14222140391975588,0.1410357358780799,0.13369321231162176,0.09852274641459469,0.053601858417133164,0.035453824889365944,765813.0
13069,"Coffee County, Georgia",0.13503047523028275,0.13377022134640942,0.14699143027358966,0.13230374409972046,0.12730855597818616,0.12400898217313597,0.09972045277484992,0.06140873470510059,0.039457403418725084,43642.0
13071,"Colquitt County, Georgia",0.14052456753375608,0.14011474914800914,0.12723782408006556,0.1257926750355895,0.12193175445407878,0.1205944523532203,0.10465467408653639,0.06833182347612268,0.05081747983262155,46362.0
13073,"Columbia County, Georgia",0.132660764093247,0.1401967808797564,0.1232055579723125,0.14425266767317485,0.1320594181017938,0.12523989866680313,0.10390491056577701,0.05836254765986847,0.04011745438726682,156316.0
13075,"Cook County, Georgia",0.12904521459719992,0.1408652742712876,0.12204498508147808,0.12072526968097315,0.12336470048198302,0.12829928850126235,0.11177415652972228,0.07252696809731467,0.051354142758778976,17428.0
13077,"Coweta County, Georgia",0.12430952332540345,0.141341846105881,0.11863660085534386,0.12644449414746886,0.13913232074717202,0.14412069701714075,0.10403068935835655,0.06425923290159478,0.037724595541638706,147543.0
13079,"Crawford County, Georgia",0.10237293570626904,0.11896745230078563,0.11215327881994548,0.11054994388327721,0.11864678531345198,0.164021164021164,0.13932980599647266,0.0890652557319224,0.04489337822671156,12474.0
13081,"Crisp County, Georgia",0.12503784438389343,0.1322607153669824,0.11630119804506725,0.11340339950694174,0.11175987197785563,0.12867090523766272,0.12733013277972405,0.07724579386704727,0.06799013883482548,23121.0
13083,"Dade County, Georgia",0.10065288356909684,0.12537782613952364,0.13861685406843188,0.10403820577922863,0.1195139644541168,0.1307580703663402,0.13529198404062387,0.08499576834723734,0.0607544432354008,16542.0
13085,"Dawson County, Georgia",0.10527558125811401,0.11896612769975215,0.11393052441087376,0.11192415122546127,0.12592942287265432,0.1436720563358118,0.1347417286281915,0.09890239584562728,0.04665801172351391,25419.0
13087,"Decatur County, Georgia",0.13289245206339823,0.13300328813684562,0.13100823881479293,0.11382864743045036,0.12055270255292423,0.12897624413492445,0.11028189308013447,0.07182177559389663,0.0576347581926331,27067.0
13089,"DeKalb County, Georgia",0.1325006943729063,0.11803165818857994,0.14627600964428547,0.15611328514667894,0.13215252992975424,0.12436120952588349,0.09983191611714495,0.05126884423748727,0.03946385283727941,766879.0
13091,"Dodge County, Georgia",0.10242677030998198,0.11228552469428382,0.12825860271115747,0.1204853540619964,0.13565266849938382,0.13911271210541284,0.12176509621765096,0.07868044364394729,0.06133282775618542,21098.0
13093,"Dooly County, Georgia",0.08277340957827019,0.10521801286633309,0.12387419585418155,0.1222301644031451,0.13145103645461043,0.1409578270192995,0.1396711937097927,0.09006433166547534,0.06375982844889207,13990.0
13095,"Dougherty County, Georgia",0.12787107462911365,0.1520983722956763,0.15777866233472831,0.1148752595397674,0.10582767635256528,0.11324002452852516,0.1116693382677267,0.0624939485546459,0.054145643497251296,92953.0
13097,"Douglas County, Georgia",0.13064555719194895,0.15229367806687394,0.1329160530191458,0.1254363715703922,0.14514127529591447,0.13659793814432988,0.09525855015545737,0.05241231658757432,0.02929825996836306,146664.0
13099,"Early County, Georgia",0.1285523555216479,0.1375166889185581,0.11520122067518596,0.10356666030898341,0.11472439443066947,0.1297921037573908,0.11338928094602327,0.08811748998664887,0.06913980545489223,10486.0
13101,"Echols County, Georgia",0.14236453201970442,0.1396551724137931,0.12536945812807881,0.13866995073891625,0.13399014778325122,0.12315270935960591,0.1,0.047783251231527095,0.04901477832512315,4060.0
13103,"Effingham County, Georgia",0.14060708370493055,0.14516180405147153,0.12436297617530896,0.14388775640208945,0.1357179258504268,0.13023952095808383,0.09690724933112499,0.0524748375589247,0.03064084596763919,62792.0
13105,"Elbert County, Georgia",0.11814561421423465,0.11237618707239866,0.11676707852547738,0.11038496885530481,0.10890431941182477,0.1377003982436434,0.13055243541305014,0.09144286735423261,0.07372613090983356,19586.0
13107,"Emanuel County, Georgia",0.1331476807936646,0.1369767644243321,0.13044991732660344,0.12997128187277,0.1119571838830389,0.12183447915760161,0.11417631189626665,0.07027238708554522,0.05121399356017753,22982.0
13109,"Evans County, Georgia",0.14061783848198736,0.14446787056558805,0.11669263910532587,0.12090934091117427,0.11650930424420204,0.12595104959207992,0.10697589146576221,0.07305894215785132,0.05481712347602897,10909.0
13111,"Fannin County, Georgia",0.08177867685622237,0.09601408556229864,0.0882220723758148,0.08709822432007193,0.10020978497040534,0.13950700531954746,0.1895182438001049,0.13126545291076647,0.08638645388476811,26694.0
13113,"Fayette County, Georgia",0.10213090065606122,0.14998528622617666,0.10379269158199034,0.09715418303934636,0.12739531582682753,0.15176824940712147,0.13080544928941126,0.08212016825633126,0.054847755716733886,115538.0
13115,"Floyd County, Georgia",0.12134415064102565,0.13885216346153847,0.1322716346153846,0.1201923076923077,0.11875,0.12498998397435897,0.11227964743589744,0.07258613782051282,0.05873397435897436,99840.0
13117,"Forsyth County, Georgia",0.13472916091348044,0.16100553142704124,0.08943589486104486,0.13150319249533468,0.17149097481987297,0.1372982200687872,0.08460321843697437,0.05695026736625411,0.03298353961121014,238998.0
13119,"Franklin County, Georgia",0.11664041547826827,0.1264739687539909,0.12919841641479715,0.10893533693755054,0.11310714741816015,0.13294453194840578,0.124345494018986,0.0855221148524967,0.06283257417734452,23491.0
13121,"Fulton County, Georgia",0.11690795839948892,0.12830394302947173,0.15893029941469922,0.15283866179385763,0.13817983671705453,0.12541032121081164,0.09114814780018977,0.04949126746272583,0.038789564171700756,1.06441e6
13123,"Gilmer County, Georgia",0.10153542931620943,0.10490510856089265,0.0960040690466351,0.09632196331500142,0.11584067139269479,0.13955558381282385,0.16559112439202722,0.11399688463617001,0.06624916552754553,31457.0
13125,"Glascock County, Georgia",0.1039298473530367,0.1325105553751218,0.11302370899642741,0.10133160116921078,0.13933095160766482,0.13965573238064308,0.12016888600194868,0.07794738551477752,0.07210133160116922,3079.0
13127,"Glynn County, Georgia",0.11364132746312922,0.12237766257055166,0.11728529881714621,0.1138712310185877,0.11460692239605486,0.13160829032220983,0.13172324209993908,0.09207637396112331,0.06280965135125814,86993.0
13129,"Gordon County, Georgia",0.12399589813707058,0.14100153819859854,0.12295334130917791,0.12332934541104085,0.13510511023756622,0.13585711844129209,0.10558878824132627,0.0672534609468467,0.04491539907708084,58510.0
13131,"Grady County, Georgia",0.12884165443946544,0.13605900781219019,0.10857754689296903,0.11595352341674267,0.11476384978387595,0.13439346472617678,0.12166395685450292,0.08046159336955229,0.059285402704524724,25217.0
13133,"Greene County, Georgia",0.10204870506378044,0.09481473300568778,0.0881881937158319,0.10088906068805566,0.09569827157766857,0.12606990998950798,0.17367055055497266,0.14594952785907558,0.0726710475454194,18109.0
13135,"Gwinnett County, Georgia",0.13772977224203853,0.15463156297485195,0.13086839535037795,0.13612689646918524,0.14735343838224954,0.1340196491198075,0.08908569828748752,0.04331932063713243,0.02686526653686935,935818.0
13137,"Habersham County, Georgia",0.11669480154092542,0.1322339090161451,0.1291390728476821,0.11872916937194304,0.12245162965848591,0.12394494221529671,0.11615374626671861,0.08282474137557892,0.05782798770722417,46206.0
13139,"Hall County, Georgia",0.1309951147759762,0.14395094319405005,0.13081977273723536,0.12308524058388899,0.12863286786516198,0.12547184055563942,0.10122106247534253,0.0681885706214414,0.04763458719126407,205313.0
13141,"Hancock County, Georgia",0.07694098475148411,0.0893958794086835,0.13525782795949248,0.11546967756954953,0.10895122802933302,0.1418926783843557,0.1517867535793272,0.09963915725759516,0.08066581306017925,8591.0
13143,"Haralson County, Georgia",0.12497499166388797,0.13234411470490162,0.1215405135045015,0.12034011337112371,0.13161053684561522,0.13571190396798932,0.10960320106702234,0.07389129709903301,0.04998332777592531,29990.0
13145,"Harris County, Georgia",0.10365488316357101,0.12947587662986104,0.10354075722559845,0.10682187794230934,0.1320437102342435,0.1510456789066735,0.13894832948158292,0.08476704042911352,0.0497018459870467,35049.0
13147,"Hart County, Georgia",0.10685106064013192,0.1179072033580691,0.11292256952252455,0.10493965969567498,0.1154711041151338,0.13698373435274716,0.13402293681133348,0.10010493965969568,0.0707967918446893,26682.0
13149,"Heard County, Georgia",0.1158112582781457,0.13021523178807948,0.12450331125827814,0.10860927152317881,0.1240066225165563,0.1427980132450331,0.12491721854304635,0.07822847682119205,0.05091059602649007,12080.0
13151,"Henry County, Georgia",0.12308116159137675,0.15832407813966304,0.12890547649180809,0.12329639865347694,0.14728672159516493,0.14106206575922722,0.0956384361736016,0.0528450034868404,0.02956065810884108,232302.0
13153,"Houston County, Georgia",0.1363405304426286,0.1393968661439337,0.13566063871697442,0.143222051366773,0.12166884825070849,0.1316321213892666,0.09683691494363889,0.05532539490907242,0.039916633837003904,157378.0
13155,"Irwin County, Georgia",0.10417098983191533,0.12637476654907656,0.1372691429757211,0.12533720688939615,0.1281386179705333,0.12253579580825898,0.1038597219340112,0.08113716538700975,0.07117659265407761,9638.0
13157,"Jackson County, Georgia",0.13506610155219356,0.1370028349285654,0.11804249585988155,0.13513627305133746,0.13614674263900975,0.1294944845201673,0.10078030707048026,0.07004519044544867,0.03828556993291605,71254.0
13159,"Jasper County, Georgia",0.12281930918517481,0.13255797659917326,0.10726546626497582,0.11385132768163665,0.11966650318783717,0.14467876410004904,0.13003573180130315,0.07664821691305261,0.05247670426679745,14273.0
